date,people_fully_vaccinated_per_hundred,q50,q_up,q_down
2020-12-19,NA,NA,NA,NA
2020-12-20,NA,NA,NA,NA
2020-12-21,NA,NA,NA,NA
2020-12-22,NA,NA,NA,NA
2020-12-23,NA,NA,NA,NA
2020-12-24,NA,NA,NA,NA
2020-12-25,NA,NA,NA,NA
2020-12-26,NA,NA,NA,NA
2020-12-27,NA,NA,NA,NA
2020-12-28,NA,NA,NA,NA
2020-12-29,NA,NA,NA,NA
2020-12-30,NA,NA,NA,NA
2020-12-31,NA,NA,NA,NA
2021-01-01,NA,NA,NA,NA
2021-01-02,NA,NA,NA,NA
2021-01-03,NA,0.03,0.03,0.03
2021-01-04,0,NA,NA,NA
2021-01-05,0,NA,NA,NA
2021-01-06,0,NA,NA,NA
2021-01-07,0,NA,NA,NA
2021-01-08,0,NA,NA,NA
2021-01-09,0,0.01,0.01,0.01
2021-01-10,0.07,0.29,0.43499999999999994,0.145
2021-01-11,0.29,0.61,0.61,0.61
2021-01-12,0.7,0.63,0.63,0.63
2021-01-13,1.35,0.335,0.49250000000000005,0.1775
2021-01-14,2.13,0.21500000000000002,0.4625,0.0225
2021-01-15,2.54,0.02,0.37,0
2021-01-16,2.83,0,0.05500000000000001,0
2021-01-17,3.79,0.005,0.017499999999999998,0
2021-01-18,5.15,0.01,0.03,0.01
2021-01-19,6.71,0.03,0.07,0.0125
2021-01-20,8.33,0.04,0.125,0.025
2021-01-21,10.18,0.075,0.1475,0.04
2021-01-22,10.98,0.09,0.195,0.04
2021-01-23,11.58,0.1,0.26,0.04
2021-01-24,13.16,0.12,0.33249999999999996,0.05
2021-01-25,14.65,0.15,0.34,0.08
2021-01-26,16.05,0.185,0.39250000000000007,0.07750000000000001
2021-01-27,17.44,0.23,0.49,0.135
2021-01-28,18.9,0.27,0.53,0.135
2021-01-29,19.63,0.35,0.58,0.17
2021-01-30,20.11,0.37,0.72,0.19
2021-01-31,20.78,0.63,0.77,0.27
2021-02-01,21.17,0.535,0.7725,0.3075
2021-02-02,21.51,0.52,0.84,0.305
2021-02-03,22.07,0.685,1.18,0.4275
2021-02-04,22.71,0.72,1.05,0.4925
2021-02-05,23.04,0.77,1.2,0.56
2021-02-06,23.28,0.865,1.1974999999999998,0.7274999999999999
